last_dir,filename,percentage,line_amount,determined_glasses,is_correct
glasses,S5500L05.jpg,1.6471354166666667,34,1,1
glasses,S5500L06.jpg,1.5885416666666665,33,1,1
glasses,S5500L07.jpg,1.69140625,25,1,1
glasses,S5500L08.jpg,1.5299479166666665,36,1,1
glasses,S5500L09.jpg,1.65625,34,1,1
glasses,S5500R04.jpg,2.6119791666666665,23,1,1
glasses,S5500R05.jpg,2.7434895833333335,23,1,1
glasses,S5500R06.jpg,2.43359375,16,1,1
glasses,S5500R07.jpg,2.5611979166666665,29,1,1
glasses,S5500R08.jpg,2.704427083333333,22,1,1
glasses,S5500R09.jpg,2.5911458333333335,21,1,1
glasses,S5501L05.jpg,0.19401041666666666,13,1,1
glasses,S5501L06.jpg,0.0,28,1,1
glasses,S5501L07.jpg,0.045572916666666664,10,1,1
glasses,S5501L08.jpg,0.09114583333333333,18,1,1
glasses,S5501L09.jpg,0.07161458333333333,9,1,1
glasses,S5501R06.jpg,0.026041666666666668,29,1,1
glasses,S5501R07.jpg,0.40885416666666663,23,1,1
glasses,S5501R08.jpg,0.2838541666666667,24,1,1
glasses,S5501R09.jpg,0.40885416666666663,19,1,1
glasses,S5502L09.jpg,2.4778645833333335,27,1,1
glasses,S5502R07.jpg,1.34375,9,1,1
glasses,S5502R08.jpg,1.3255208333333335,5,1,1
glasses,S5502R09.jpg,1.9075520833333335,31,1,1
glasses,S5503L06.jpg,0.2552083333333333,10,1,1
glasses,S5503L07.jpg,0.4765625,7,1,1
glasses,S5503L08.jpg,0.28515625,14,1,1
glasses,S5503L09.jpg,0.22656249999999997,11,1,1
glasses,S5503R06.jpg,0.33203125,9,1,1
glasses,S5503R07.jpg,0.3776041666666667,6,1,1
glasses,S5503R08.jpg,0.3671875,7,1,1
glasses,S5503R09.jpg,0.36848958333333337,15,1,1
glasses,S5504L05.jpg,3.1484375,26,1,1
glasses,S5504L06.jpg,2.407552083333333,32,1,1
glasses,S5504L07.jpg,2.34375,33,1,1
glasses,S5504L08.jpg,2.342447916666667,31,1,1
glasses,S5504L09.jpg,2.0247395833333335,10,1,1
glasses,S5504R07.jpg,2.56640625,25,1,1
glasses,S5504R08.jpg,2.59375,37,1,1
